Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
QS1P3,Pad,P1,GFZ,Channel:,j70,Actual,Channel:,47,Trace,Length:,916.135,Time,estimate:,4.727491506
QS1P3,Pad,P1,GFZ,Channel:,j71,Actual,Channel:,48,Trace,Length:,798.995,Time,estimate:,4.12301907
QS1P3,Pad,P1,GFZ,Channel:,j72,Actual,Channel:,49,Trace,Length:,1073.145,Time,estimate:,5.537703365
QS1P3,Pad,P1,GFZ,Channel:,j73,Actual,Channel:,50,Trace,Length:,954.655,Time,estimate:,4.926264583
QS1P3,Pad,P1,GFZ,Channel:,j74,Actual,Channel:,51,Trace,Length:,837.515,Time,estimate:,4.321792147
QS1P4,Pad,P1,GFZ,Channel:,j103,Actual,Channel:,1,Trace,Length:,495.265,Time,estimate:,2.555694391
QS1P4,Pad,P1,GFZ,Channel:,j102,Actual,Channel:,2,Trace,Length:,377.17,Time,estimate:,1.94629391
QS1P4,Pad,P1,GFZ,Channel:,j101,Actual,Channel:,3,Trace,Length:,248.775,Time,estimate:,1.283742788
QS1P4,Pad,P1,GFZ,Channel:,j100,Actual,Channel:,4,Trace,Length:,509.115,Time,estimate:,2.627163942
QS1P4,Pad,P1,GFZ,Channel:,j99,Actual,Channel:,5,Trace,Length:,384.475,Time,estimate:,1.983989583
QS1P4,Pad,P1,GFZ,Channel:,j98,Actual,Channel:,6,Trace,Length:,264.6,Time,estimate:,1.365403846
QS1P4,Pad,P1,GFZ,Channel:,j97,Actual,Channel:,7,Trace,Length:,537.33,Time,estimate:,2.772760577
QS1P4,Pad,P1,GFZ,Channel:,j96,Actual,Channel:,8,Trace,Length:,417.985,Time,estimate:,2.156909775
QS1P4,Pad,P1,GFZ,Channel:,j95,Actual,Channel:,9,Trace,Length:,300.285,Time,estimate:,1.549547596
